id_intervallo,Start,End,Latitude_inizio,Latitude_fine,Longitude_inizio,Longitude_fine,Velocità,"LF[315,1000]_mean","LF[315,1000]_max",classe_acustica,Longitudinal,Transverse,Alligator,Pothole,Manhole,Longitudinal_sx,Transverse_sx,Alligator_sx,Pothole_sx,Manhole_sx,Longitudinal_dx,Transverse_dx,Alligator_dx,Pothole_dx,Manhole_dx,Longitudinal_both,Transverse_both,Alligator_both,Pothole_both,Manhole_both,indice_finale
262,2025-07-31 09:27:55.141250560,2025-07-31 09:27:58.269609472,43.714929058329794,43.71491243463542,10.417126364525789,10.416879272786524,7.835184722193862,-59.80423880202036,-54.08155528762542,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
263,2025-07-31 09:27:59,2025-07-31 09:28:01.989136896,43.71491,43.71489507241995,10.416836666666669,10.416589365317623,7.68428407361399,-56.24951767887742,-52.89551859692223,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
264,2025-07-31 09:28:01.989136896,2025-07-31 09:28:04.229532928,43.71489507241995,43.71487898878396,10.416589365317623,10.416342209956916,8.620016217104277,-52.30210216744558,-50.20599286706496,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
265,2025-07-31 09:28:04.229532928,2025-07-31 09:28:06.065554432,43.71487898878396,43.71485745927528,10.416342209956916,10.416095822390472,10.394636352212189,-51.90916974153652,-50.04777783761295,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2
266,2025-07-31 09:28:06.065554432,2025-07-31 09:28:07.842847744,43.71485745927528,43.714833762028526,10.416095822390472,10.41584981079235,11.19421583384525,-48.21909630903792,-46.86667182707387,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1
267,2025-07-31 09:28:07.842847744,2025-07-31 09:28:09.871222784,43.714833762028526,43.71480838369589,10.41584981079235,10.415604165491082,10.163761125098295,-51.00288392962646,-46.72403809472741,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3
268,2025-07-31 09:28:09.871222784,2025-07-31 09:28:12.479179776,43.71480838369589,43.71477274290191,10.415604165491082,10.415361005781106,8.238622066947537,-55.82931840114964,-51.84196462260972,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
269,2025-07-31 09:28:12.479179776,2025-07-31 09:28:15.177789440,43.71477274290191,43.7147423331585,10.415361005781106,10.41511644333712,7.419973818272048,-56.22377308687301,-52.00863642012639,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
270,2025-07-31 09:28:15.177789440,2025-07-31 09:28:17.667821824,43.7147423331585,43.71470664934011,10.41511644333712,10.414873217822915,7.854566369692401,-55.42403380734687,-52.373829493556734,1,1,6,2,2,1,1,4,0,0,1,0,4,4,0,0,0,3,2,0,0,2
271,2025-07-31 09:28:17.667821824,2025-07-31 09:28:20.051414272,43.71470664934011,43.71467273349992,10.414873217822915,10.41462951580887,8.322114569530171,-51.90518503315526,-47.170419270331806,2,3,5,1,1,1,1,3,1,0,0,2,4,3,0,2,0,1,4,0,0,3
